# Diccionario semilla: 200 palabras más frecuentes del inglés.
# Formato: rank|en|lemma|pos|es|es_alt|cefr|hint
# Amplía este archivo con la salida de tools/prompt_chatgpt.txt
164|great|great|adj|estupendo|genial;grande|A1|very good
165|those|those|det|esos|aquellos|A1|-
166|last|last|adj|último|pasado|A1|final or previous
167|better|better|adj|mejor|-|A1|comparative of good
168|everything|everything|pron|todo|-|A1|-
169|told|tell|verb|dijo|contó|A1|past tense form
170|new|new|adj|nuevo|-|A1|-
171|things|thing|noun|cosas|-|A1|plural form
172|always|always|adv|siempre|-|A1|-
173|keep|keep|verb|guardar|mantener|A1|-
174|long|long|adj|largo|-|A1|-
175|years|year|noun|años|-|A1|plural form
176|leave|leave|verb|irse|dejar;salir|A1|-
177|does|do|verb|hacer|-|A1|third person singular
178|money|money|noun|dinero|-|A1|-
179|around|around|prep|alrededor|por|A1|-
180|doesn|doesn|drop|-|-|-|-
181|name|name|noun|nombre|-|A1|-
182|place|place|noun|lugar|sitio|A1|-
183|ever|ever|adv|alguna vez|nunca|A2|-
184|feel|feel|verb|sentir|sentirse|A1|-
185|guys|guys|drop|-|-|-|-
186|father|father|noun|padre|papá|A1|-
187|guy|guy|noun|tipo|chico;tío|A2|informal word for a man
188|made|make|verb|hizo|hecho|A1|past tense form
189|old|old|adj|viejo|antiguo|A1|-
190|isn|isn|drop|-|-|-|-
191|which|which|pron|cuál|que|A1|-
192|big|big|adj|grande|gran|A1|-
193|lot|lot|noun|montón|mucho|A1|a large amount
194|done|do|verb|hecho|terminado|A1|past participle
195|hello|hello|interj|hola|-|A1|-
196|nice|nice|adj|agradable|simpático;bonito|A1|-
197|believe|believe|verb|creer|-|A1|-
198|girl|girl|noun|chica|niña|A1|-
199|someone|someone|pron|alguien|-|A1|-
200|fine|fine|adj|bien|estupendo|A1|feeling or doing well
