# Phrasal verbs más usados del inglés.
# Formato: rank|en|lemma|pos|es|es_alt|cefr|hint
59|grow up|grow up|phrasal|crecer|criarse|A2|become an adult
60|hang on|hang on|phrasal|esperar|aguantar|A2|wait a moment
61|hang out|hang out|phrasal|pasar el rato|-|B1|spend time relaxing
62|hold on|hold on|phrasal|esperar|agarrarse|A2|wait
63|keep on|keep on|phrasal|seguir|continuar|B1|continue doing
64|keep up|keep up|phrasal|mantener el ritmo|seguir|B2|stay level with
65|let down|let down|phrasal|decepcionar|fallar|B2|disappoint someone
66|look around|look around|phrasal|mirar alrededor|echar un vistazo|A2|explore a place
67|look into|look into|phrasal|investigar|examinar|B2|examine a matter
68|look out|look out|phrasal|tener cuidado|-|A2|be careful
69|look up|look up|phrasal|buscar|consultar|B1|search in a reference
70|make up|make up|phrasal|inventar|reconciliarse;maquillar|B1|invent a story
71|move on|move on|phrasal|seguir adelante|pasar a otra cosa|B1|leave something behind
72|pass away|pass away|phrasal|fallecer|morir|B2|die
73|pay back|pay back|phrasal|devolver|pagar|B1|return money
74|pick out|pick out|phrasal|elegir|escoger|B1|select from a group
75|point out|point out|phrasal|señalar|indicar|B1|draw attention to
76|put away|put away|phrasal|guardar|recoger|A2|store in its place
77|put down|put down|phrasal|dejar|soltar;apuntar|A2|place on a surface
78|put out|put out|phrasal|apagar|extinguir|B1|stop a fire
79|put up with|put up with|phrasal|aguantar|soportar|B2|tolerate
80|run into|run into|phrasal|toparse con|encontrarse|B1|meet by chance
81|set up|set up|phrasal|montar|establecer;configurar|B1|establish or arrange
82|show up|show up|phrasal|aparecer|presentarse|B1|arrive
83|shut up|shut up|phrasal|callarse|-|A2|stop talking
84|sort out|sort out|phrasal|resolver|arreglar;ordenar|B1|solve a problem
85|take away|take away|phrasal|quitar|llevarse|A2|remove
86|take care of|take care of|phrasal|cuidar de|encargarse de|A2|look after
87|take over|take over|phrasal|tomar el control|hacerse cargo|B2|take control
88|take up|take up|phrasal|empezar|ocupar|B2|start a hobby
89|throw away|throw away|phrasal|tirar|desechar|A2|discard
90|try on|try on|phrasal|probarse|-|A2|test clothing
91|turn around|turn around|phrasal|darse la vuelta|girar|A2|face the other way
92|turn out|turn out|phrasal|resultar|salir|B2|prove to be
93|turn up|turn up|phrasal|aparecer|subir el volumen|B1|arrive unexpectedly
94|wait for|wait for|phrasal|esperar a|-|A1|stay until someone comes
95|warm up|warm up|phrasal|calentar|calentarse|A2|make warmer
96|work out|work out|phrasal|hacer ejercicio|resolver;salir bien|B1|exercise
97|write down|write down|phrasal|apuntar|anotar|A2|note on paper
98|come out|come out|phrasal|salir|publicarse|A2|become known
99|go down|go down|phrasal|bajar|descender|A2|decrease
100|go up|go up|phrasal|subir|aumentar|A2|increase
