# Diccionario ingles-espanol ordenado por frecuencia de uso.
# Formato: rank|en|lemma|pos|es|es_alt|cefr|hint
# Frecuencia: OpenSubtitles 2018. Traducciones: Wiktionary (CC BY-SA).
186|father|father|noun|padre|papá|A1|male parent
187|guy|guy|noun|tipo|chico;hombre|A1|informal man
189|old|old|adj|viejo|antiguo;mayor|A1|not young
191|which|which|pron|cuál|qué|A1|choice among options
192|big|big|adj|grande|enorme|A1|large size
193|lot|lot|noun|montón|lote;parcela|A1|large amount
195|hello|hello|interj|hola|-|A1|-
196|nice|nice|adj|agradable|bonito;amable|A1|positive impression
197|believe|believe|verb|creer|confiar|A1|accept as true
198|girl|girl|noun|chica|niña|A1|young female
199|someone|someone|pron|alguien|-|A1|-
200|fine|fine|adj|bien|bueno;aceptable|A1|okay or satisfactory
201|thanks|thanks|noun|gracias|agradecimiento|A1|expression of gratitude
203|kind|kind|noun|tipo|clase;especie|A1|category or type
205|house|house|noun|casa|vivienda|A1|building to live
206|every|every|det|cada|todos los|A1|-
207|ok|ok|interj|vale|-|A1|acknowledgement or acceptance
208|through|through|prep|a través de|por|A2|from side to side
210|course|course|noun|curso|trayecto|A1|series of lessons
211|stay|stay|verb|quedarse|permanecer;alojarse|A1|remain in place
213|dad|dad|noun|papá|padre|A1|male parent
214|enough|enough|det|suficiente|bastante|A1|required amount
217|may|may|verb|poder|quizá|A2|possibility modal
218|mother|mother|noun|madre|mamá|A1|female parent
219|wrong|wrong|adj|incorrecto|equivocado;mal|A1|not correct
220|world|world|noun|mundo|-|A1|-
221|bad|bad|adj|malo|mal|A1|negative quality
223|three|three|num|tres|-|A1|-
224|today|today|adv|hoy|-|A1|-
225|listen|listen|verb|escuchar|oír|A1|pay attention to sound
226|another|another|det|otro|otra|A1|one more
227|understand|understand|verb|entender|comprender|A1|-
228|hear|hear|verb|oír|escuchar|A1|perceive sound
229|remember|remember|verb|recordar|acordarse|A1|-
230|ask|ask|verb|preguntar|pedir|A1|request information
231|own|own|adj|propio|-|A2|belonging to oneself
232|same|same|adj|mismo|igual|A1|not different
233|show|show|verb|mostrar|enseñar|A1|make visible
234|else|else|adv|más|otro|A2|in addition
235|kill|kill|verb|matar|asesinar|A2|cause death
238|next|next|adj|siguiente|próximo|A1|following in order
240|care|care|verb|importar|cuidar;preocuparse|A1|feel concern
241|car|car|noun|coche|auto;carro|A1|road vehicle
243|son|son|noun|hijo|-|A1|male child
244|try|try|verb|intentar|probar|A1|make an attempt
245|woman|woman|noun|mujer|-|A1|adult female
247|hi|hi|interj|hola|-|A1|informal greeting
248|dead|dead|adj|muerto|fallecido|A1|no longer alive
249|many|many|det|muchos|muchas|A1|large number
250|mind|mind|noun|mente|opinión|A2|thoughts and awareness
252|friend|friend|noun|amigo|amiga|A1|-
254|mom|mom|noun|mamá|madre|A1|female parent
255|hell|hell|noun|infierno|-|A2|place of punishment
256|morning|morning|noun|mañana|-|A1|early part of day
258|boy|boy|noun|chico|niño|A1|young male
259|together|together|adv|juntos|juntas|A1|with each other
260|yourself|yourself|pron|tú mismo|usted mismo|A1|reflexive singular form
261|job|job|noun|trabajo|empleo;puesto|A1|paid work
263|family|family|noun|familia|-|A1|-
264|real|real|adj|real|verdadero;auténtico|A1|not imaginary
265|without|without|prep|sin|-|A1|-
266|baby|baby|noun|bebé|niño pequeño|A1|very young child
267|room|room|noun|habitación|cuarto;espacio|A1|part of building
269|already|already|adv|ya|-|A1|before now
270|move|move|verb|mover|mudarse;trasladar|A1|change position
271|most|most|det|mayoría|más|A1|greatest amount
273|live|live|verb|vivir|residir|A1|be alive somewhere
274|miss|miss|verb|extrañar|perder;fallar|A1|feel absence
275|actually|actually|adv|realmente|en realidad|A2|in fact
276|huh|huh|interj|eh|-|A1|to reinforce a question
277|shit|shit|noun|mierda|porquería|B1|vulgar excrement
278|both|both|det|ambos|los dos;ambas|A1|two together
280|once|once|adv|una vez|antes|A1|one time
281|ready|ready|adj|listo|preparado|A1|prepared for action
282|head|head|noun|cabeza|jefe|A1|body part
285|idea|idea|noun|idea|concepto|A1|thought or suggestion
287|hold|hold|verb|sostener|agarrar;mantener|A1|keep in hands
288|happy|happy|adj|feliz|contento;alegre|A1|feeling pleasure
289|door|door|noun|puerta|-|A1|-
290|such|such|det|tal|semejante|A2|of that kind
291|fuck|fuck|verb|joder|follar|B1|vulgar expression
292|brother|brother|noun|hermano|-|A1|male sibling
293|also|also|adv|también|además|A1|-
294|pretty|pretty|adv|bastante|muy|A2|moderately high degree
295|bit|bit|noun|poco|pedazo;trozo|A1|small amount
297|haven|haven|noun|puerto|-|A1|harbour
298|yet|yet|adv|todavía|aún;ya|A1|up to now
300|whole|whole|adj|entero|completo|A1|all of something
301|start|start|verb|empezar|comenzar;iniciar|A1|-
302|use|use|verb|usar|utilizar;emplear|A1|-
303|while|while|conj|mientras|aunque|A2|during same time
304|since|since|prep|desde|desde que|A2|starting time
305|wife|wife|noun|esposa|mujer|A1|married woman
307|guess|guess|verb|suponer|adivinar|A2|form uncertain opinion
308|tomorrow|tomorrow|adv|mañana|-|A1|next day
309|matter|matter|verb|importar|-|A2|be important
310|meet|meet|verb|conocer|reunirse;encontrarse|A1|encounter a person
311|bring|bring|verb|traer|llevar|A1|carry toward here
312|tonight|tonight|adv|esta noche|-|A1|-
313|everyone|everyone|pron|todos|todo el mundo|A1|all people
314|run|run|verb|correr|funcionar;dirigir|A1|move quickly on foot
316|hard|hard|adj|difícil|duro|A1|not easy
318|alone|alone|adj|solo|solitario|A1|without other people
319|myself|myself|pron|yo mismo|mí mismo|A1|reflexive first person
320|school|school|noun|escuela|colegio|A1|place for education
323|end|end|noun|fin|final|A1|last part
325|phone|phone|noun|teléfono|móvil|A1|communication device
326|play|play|verb|jugar|tocar;interpretar|A1|take part in game
329|fucking|fuck|adj|maldito|jodido|B1|vulgar intensifier
330|problem|problem|noun|problema|dificultad|A1|-
331|few|few|det|pocos|pocas|A1|small number
334|ago|ago|adv|hace|-|A1|time before now
335|open|open|verb|abrir|destapar|A1|make not closed
336|anyone|anyone|pron|alguien|cualquiera|A1|any person
338|hope|hope|verb|esperar|desear|A1|want something possible
339|face|face|noun|cara|rostro|A1|front of head
340|until|until|prep|hasta|-|A1|up to a time
342|police|police|noun|policía|cuerpo policial|A1|law enforcement
343|excuse|excuse|noun|excusa|pretexto|A2|reason for fault
344|turn|turn|verb|girar|dar la vuelta;convertirse|A1|change direction
345|business|business|noun|negocio|empresa;asunto|A2|commercial activity
346|case|case|noun|caso|asunto;estuche|A2|particular situation
349|true|true|adj|verdadero|cierto|A1|not false
350|die|die|verb|morir|fallecer|A1|cease to live
351|heart|heart|noun|corazón|-|A1|body organ
352|soon|soon|adv|pronto|en breve|A1|in short time
353|each|each|det|cada|cada uno|A1|one by one
354|worry|worry|verb|preocuparse|inquietarse|A1|feel anxious
355|later|later|adv|después|más tarde;luego|A1|at a future time
356|year|year|noun|año|-|A1|-
357|watch|watch|verb|mirar|ver;vigilar|A1|observe attentively
358|music|music|noun|música|-|A1|-
359|hand|hand|noun|mano|-|A1|body part
361|probably|probably|adv|probablemente|seguramente|A2|likely to happen
362|beautiful|beautiful|adj|hermoso|bonito;precioso|A1|very attractive
363|doctor|doctor|noun|médico|doctora|A1|medical professional
364|sit|sit|verb|sentarse|estar sentado|A1|take a seat
365|eat|eat|verb|comer|alimentarse|A1|consume food
367|young|young|adj|joven|-|A1|not old
368|second|second|adj|segundo|-|A1|after the first
370|water|water|noun|agua|-|A1|-
371|person|person|noun|persona|individuo|A1|human individual
372|part|part|noun|parte|porción|A1|piece of whole
374|late|late|adj|tarde|retrasado|A1|after expected time
375|stuff|stuff|noun|cosas|material|A2|unspecified things
376|exactly|exactly|adv|exactamente|precisamente|A2|with complete accuracy
377|under|under|prep|debajo de|bajo|A1|lower than something
378|death|death|noun|muerte|fallecimiento|A2|end of life
379|minute|minute|noun|minuto|-|A1|time unit
380|pay|pay|verb|pagar|abonar|A1|give money owed
381|crazy|crazy|adj|loco|demente|A2|mentally irrational
382|forget|forget|verb|olvidar|olvidarse|A1|fail to remember
383|everybody|everybody|pron|todos|todo el mundo|A1|all people
384|kid|kid|noun|niño|chico|A1|informal child
385|change|change|verb|cambiar|modificar|A1|make different
387|happen|happen|verb|pasar|suceder;ocurrir|A1|take place
388|damn|damn|adj|maldito|condenado|B1|informal intensifier
389|five|five|num|cinco|-|A1|-
390|drink|drink|verb|beber|tomar|A1|consume liquid
391|far|far|adv|lejos|-|A1|great distance
393|its|its|det|su|sus|A1|nonhuman possessor
394|whatever|whatever|pron|lo que sea|cualquier cosa|A2|no matter what
396|shut|shut|verb|cerrar|callar|A1|make closed
398|hit|hit|verb|golpear|pegar|A1|strike something
400|easy|easy|adj|fácil|sencillo|A1|not difficult
401|times|times|prep|por|-|A1|multiplied by
402|check|check|noun|cuenta|-|A1|a bill, particularly at a restaurant
405|deal|deal|verb|repartir|asignar|A1|administer in portions
406|different|different|adj|diferente|distinto|A1|not the same
408|point|point|noun|punto|-|A1|-
409|inside|inside|adv|adentro|-|A1|towards
412|somebody|somebody|pron|alguien|-|A1|some unspecified person
413|mine|mine|noun|mina|-|A1|exploding device
415|body|body|noun|cuerpo|-|A1|any physical object or material thing
416|afraid|afraid|adj|temerse que|-|A1|colloquially, express sorrow
417|sleep|sleep|noun|sueño|dormir|A1|state of reduced consciousness
418|chance|chance|noun|probabilidad|-|A1|probability of something happening
419|dear|dear|adj|querido|-|A1|-
420|quite|quite|adv|completamente|-|A1|in a fully justified sense; truly
421|four|four|noun|cuatro|-|A1|the digit or figure 4
422|anyway|anyway|adv|en fin|de todos modos|A1|in any way
423|close|close|verb|cerrar|tapar|A1|-
425|party|party|noun|partido|-|A1|political group
426|fun|fun|adj|divertido|-|A1|enjoyable, amusing
427|against|against|prep|contra|-|A1|in a contrary direction to
428|word|word|noun|palabra|-|A1|something promised
430|important|important|adj|importante|-|A1|having relevant and crucial value
431|set|set|verb|cuajarse|fraguar|A1|-
433|story|story|noun|piso|-|A1|level of a building
434|number|number|noun|número|-|A1|-
435|daughter|daughter|noun|hija|-|A1|female child
436|least|least|det|mínimo|-|A1|the smallest amount of
438|hurt|hurt|verb|doler|-|A1|to be painful
439|wish|wish|noun|deseo|-|A1|-
440|moment|moment|noun|momento|-|A1|very brief period of time
441|fight|fight|verb|pelear|luchar|A1|to contend in physical conflict
442|week|week|noun|semana|-|A1|period of seven days
443|husband|husband|noun|marido|esposo|A1|male partner in marriage
445|rest|rest|verb|descansar|reposar|A1|intransitive: take repose
446|married|married|adj|casado|-|A1|-
447|fire|fire|noun|fuego|-|A1|alchemy: one of the four basic elements
448|game|game|noun|juego|-|A1|contest between two individuals or teams
449|nobody|nobody|noun|don nadie|pelagatos|A1|unimportant person
452|side|side|noun|bando|-|A1|group having a particular allegiance in a war
453|stand|stand|verb|levantar|poner|A1|place in an upright or standing position
454|read|read|verb|leer|-|A1|look at and interpret letters or other information
455|though|though|adv|no obstante|-|A1|however
456|cut|cut|verb|faltar|-|A1|colloquial, not to attend a class
458|sister|sister|noun|hermana|sor|A1|-
459|supposed|supposed|adj|supuesto|-|A1|Presumed to be true, but without proof
460|between|between|prep|entre|-|A1|-
461|child|child|noun|niño|niña;infante|A1|a minor
464|speak|speak|verb|hablar|-|A1|to communicate with one's voice using words
466|behind|behind|prep|después|-|A1|after, time- or motion-wise
467|almost|almost|adv|casi|-|A1|very close to
468|truth|truth|noun|verdad|-|A1|that which is real
469|blood|blood|noun|sangre|-|A1|vital liquid flowing in animal bodies
470|able|able|adj|competente|-|A1|legally qualified
471|lady|lady|noun|ama|-|A1|mistress of a household
475|shot|shot|adj|cansado|-|A1|tired, weary
476|reason|reason|noun|razón|-|A1|-
477|trouble|trouble|noun|problema|pena|A1|-
478|break|break|verb|romperse|-|A1|-
479|war|war|noun|guerra|-|A1|rhetorical: campaign against something
480|city|city|noun|ciudad|urbe|A1|large settlement
481|walk|walk|noun|trecho|trayecto|A1|distance walked
482|town|town|noun|ciudad|pueblo|A1|settlement
483|trust|trust|verb|confiar|-|A1|To commit; to intrust
485|office|office|noun|oficina|-|A1|administrative unit
486|question|question|noun|duda|cuestión|A1|doubt or challenge about the truth
488|yours|yours|pron|tuyo|vuestro;suyo|A1|-
489|welcome|welcome|noun|acogida|bienvenida|A1|act of greeting someone’s arrival
490|high|high|adj|alto|elevado|A1|elevated
491|wow|wow|interj|¡uau!|¡guau!|A1|-
492|couple|couple|noun|par|-|A1|two of the same kind considered together
493|half|half|noun|mitad|-|A1|-
495|cool|cool|adj|frío|-|A1|allowing or suggesting heat relief
496|free|free|adj|libre|-|A1|not imprisoned
497|either|either|adv|tampoco|-|A1|-
499|power|power|noun|corriente|electricidad|A1|electricity supply
500|whoa|whoa|interj|so|-|A1|stop, said to a horse
501|bye|bye|interj|adiós|chau;chao|A2|short for goodbye
502|buy|buy|verb|comprar|-|A2|to obtain for money
504|honey|honey|noun|miel|-|A2|colour
506|front|front|noun|frente|-|A2|meteorology: interface between airmasses
507|team|team|noun|equipo|cuadrilla|A2|group of people
508|answer|answer|noun|respuesta|-|A2|response
509|gun|gun|noun|escopeta|rifle|A2|a less portable, long weapon
511|line|line|noun|línea|-|A2|-
512|send|send|verb|enviar|mandar|A2|make something go somewhere
513|news|news|noun|noticias|-|A2|new information of interest
514|stupid|stupid|adj|estúpido|menso gilí;pendejo|A2|lacking in intelligence
515|bed|bed|noun|cama|lecho|A2|piece of furniture
516|hurry|hurry|verb|apresurarse|apurarse;darse prisa|A2|to do things quickly
517|full|full|adj|completo|-|A2|complete
519|save|save|verb|ahorrar|-|A2|accumulate money
520|sometimes|sometimes|adv|a veces|algunas veces|A2|on certain occasions, but not always
521|become|become|verb|volverse|hacerse;convertirse;llegar a ser|A2|to begin to be
522|along|along|prep|a lo largo|-|A2|-
523|hate|hate|verb|odiar|-|A2|-
524|food|food|noun|alimento|comida|A2|-
525|outside|outside|adv|afuera|-|A2|-
526|light|light|adj|luminoso|-|A2|-
528|dog|dog|noun|perro|-|A2|animal
529|country|country|noun|país|-|A2|region of land
530|clear|clear|adj|claro|-|A2|bright, not obscured
531|order|order|noun|orden|mandato|A2|command
532|em|em|noun|eme|-|A2|name of the letter M, m
533|fact|fact|noun|hecho|-|A2|an objective consensus on a fundamental reality
534|lord|lord|noun|castellano|-|A2|master of a household
535|captain|captain|noun|capitán|-|A2|-
536|six|six|num|seis|-|A2|cardinal number
537|hot|hot|adj|vivo|cargado|A2|electrically charged
538|funny|funny|adj|divertido|cómico;gracioso;chistoso|A2|amusing; comical
539|black|black|adj|negro|-|A2|absorbing all light
540|alive|alive|adj|vivo|-|A2|having life
541|pick|pick|noun|pico|-|A2|pickaxe
542|feeling|feeling|noun|sentimiento|emoción|A2|emotion
543|living|living|noun|ganarse la vida|trabajo|A2|financial means; a means of maintaining life
544|cause|cause|noun|causa|-|A2|goal, aim, principle
545|ahead|ahead|adv|enfrente de|-|A2|in or to the front
546|lose|lose|verb|perder|fracasar|A2|fail to be the winner
547|king|king|noun|rey|-|A2|-
548|plan|plan|verb|planear|-|A2|-
549|dinner|dinner|noun|cena|-|A2|-
551|sort|sort|noun|ordenar|-|A2|act of sorting
554|running|running|noun|footing|jogging|A2|sport
555|boss|boss|noun|jefe|jefa|A2|person in charge
557|promise|promise|noun|promesa|-|A2|vow
559|safe|safe|adj|salvo|seguro|A2|-
560|ma|ma|noun|mamá|-|A2|colloquial form of mother
561|book|book|noun|libro|-|A2|-
562|sent|sent|verb|enviado|-|A2|past participle of "to send"
563|white|white|adj|caucásico|-|A2|Caucasian
564|hour|hour|noun|hora|-|A2|Time period of sixty minutes
565|anybody|anybody|pron|alguien|-|A2|-
566|small|small|adj|minúsculas|-|A2|minuscule or lowercase, referring to written letters
567|perfect|perfect|adj|perfecto|-|A2|excellent and delightful in all respects
569|special|special|adj|especial|-|A2|-
570|parents|parents|noun|padres|-|A2|one's mother and father
572|himself|himself|pron|él mismo|-|A2|-
573|perhaps|perhaps|adv|quizá|quizás;tal vez|A2|indicating a lack of certainty
575|serious|serious|adj|serio|-|A2|-
576|sick|sick|adj|enfermo|enferma;mareado|A2|in poor health
577|company|company|noun|compañía|-|A2|group of individuals with a common purpose
578|ha|ha|interj|ja|-|A2|an exclamation of triumph or discovery.
579|scared|scared|adj|asustado|-|A2|afraid, frightened
580|uncle|uncle|noun|tío|-|A2|-
581|poor|poor|adj|pobre|-|A2|with no possessions or money
582|red|red|adj|rojo|colorado;rubicundo;rubro|A2|-
583|past|past|noun|pretérito|-|A2|-
584|earth|earth|noun|tierra|-|A2|any general rock-based material
585|possible|possible|adj|posible|-|A2|capable of being done/achieved, feasible
586|shoot|shoot|verb|disparar|tirar|A2|to fire multiple shots
587|touch|touch|noun|toque|-|A2|act of touching
588|sound|sound|noun|sonda|-|A2|a probe
589|top|top|noun|dominador|dominadora|A2|-
590|ass|ass|noun|asno|-|A2|animal
592|cannot|cannot|verb|no poder|-|A2|-
594|win|win|verb|ganar|-|A2|transitive: achieve victory in
595|glad|glad|adj|contento|-|A2|pleased, happy, satisfied
596|control|control|noun|administración|control;dirección;manejo|A2|authority
597|hmm|hmm|interj|hmm|-|A2|indicating thinking or pondering
598|human|human|adj|humano|-|A2|of or belonging to the species
599|drive|drive|verb|conducir|-|A2|-
600|hair|hair|noun|cabello|pelo|A2|a pigmented keratinaceous growth on the human head
601|jack|jack|noun|gato|gata;cric|A2|device for raising and supporting a heavy object
602|bitch|bitch|noun|perra|zorra;loba|A2|female canine
603|luck|luck|noun|suerte|-|A2|something that happens to someone by chance
604|murder|murder|noun|asesinato|-|A2|an act of deliberate killing
606|air|air|noun|aire|-|A2|historical: one of the basic elements
607|ten|ten|num|diez|-|A2|-
608|daddy|daddy|noun|papá|papito;papaíto|A2|father
609|finally|finally|adv|finalmente|por fin|A2|-
611|fast|fast|adj|rápido|-|A2|capable of moving with great speed
612|cold|cold|noun|resfriado|constipación;gripe;gripa|A2|illness
613|seem|seem|verb|parecer|-|A2|to appear
615|words|words|noun|palabras|-|A2|plural of "word", a part of a sentence
616|hospital|hospital|noun|hospital|-|A2|building
617|street|street|noun|calle|-|A2|-
618|hang|hang|verb|colgar|-|A2|-
619|dance|dance|noun|baile|danza|A2|movements to music
620|meeting|meeting|noun|reunión|-|A2|-
621|till|till|conj|hasta que|-|A2|Until
622|others|others|noun|otros|-|A2|other people
623|catch|catch|verb|atrapar|-|A2|-
624|follow|follow|verb|seguir|-|A2|to go or come after in physical space
625|sense|sense|noun|sensación|-|A2|conscious awareness
626|sex|sex|noun|sexo|género|A2|-
627|lie|lie|verb|mentir|-|A2|tell an intentional untruth
628|evening|evening|noun|tarde|-|A2|time of day
629|master|master|noun|maese|amo;señor|A2|courtesy title of a man
630|known|known|adj|conocido|-|A2|that whom other people know, renowned, famous
631|dream|dream|verb|soñar|-|A2|see imaginary events while sleeping
632|write|write|verb|escribir|-|A2|to form letters, etc.
634|voice|voice|noun|voz|-|A2|-
635|sweet|sweet|adj|chachi|-|A2|-
636|rather|rather|adv|preferiblemente|-|A2|preferably
637|felt|felt|noun|fieltro|-|A2|cloth made of matted fibres of wool
638|sign|sign|noun|símbolo|-|A2|any of several specialized non-alphabetic symbols
639|lucky|lucky|adj|fortunado|afortunado|A2|being good by chance
640|somewhere|somewhere|adv|en alguna parte|en algún punto;en algún sitio|A2|in some place
641|bet|bet|verb|apostar|-|A2|To be sure of something
642|jesus|jesus|interj|¡jesús!|-|A2|expletive
646|quiet|quiet|adj|tranquilo|detenido;quieto;calmo|A2|having little motion
648|less|less|adj|menos|-|A2|not as much
649|pull|pull|verb|halar|jalar|A2|-
650|beat|beat|verb|golpear|pegar;aporrear;batir|A2|to hit, to knock, to pound, to strike
651|careful|careful|adj|cauto|cuidadoso|A2|cautious
652|coffee|coffee|noun|café|-|A2|colour
653|return|return|verb|devolver|-|A2|-
654|secret|secret|adj|secreto|-|A2|being or kept hidden.
657|date|date|noun|compañero|compañera|A2|-
659|fall|fall|verb|caer|-|A2|become or change into
660|given|given|noun|postulado|-|A2|condition assumed to be true
662|fault|fault|noun|defecto|falla|A2|defect
663|straight|straight|adj|directo|-|A2|as it should be
665|song|song|noun|canción|-|A2|music with words
666|future|future|noun|futuro|venidero;porvenir|A2|The time ahead
670|road|road|noun|camino|calle;ruta|A2|a way for travel
